date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:58	73781/73781	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2021:31:58%20GMT	https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html	C:/omayma.freelance/www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html	(from )
00:31:59	6805/6805	---M--	200	added ('OK')	text/plain	etag:%221a95-5b9efce59fbd8%22	https://www.tronstol.com/robots.txt		(from )
00:32:00	97682/97682	---M--	200	added ('OK')	text/css	etag:%2217d92-5d87d31871040%22	https://www.tronstol.com/themes/tianxing/css/index.min.css?v=1.9.9.4	C:/omayma.freelance/www.tronstol.com/themes/tianxing/css/index.min8ebf.css	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:00	142286/142286	---M--	200	added ('OK')	text/css	etag:%2222bce-5d87d31871040%22	https://www.tronstol.com/themes/tianxing/css/all.min.css?v=1.9.9.4	C:/omayma.freelance/www.tronstol.com/themes/tianxing/css/all.min8ebf.css	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:01	6365/6365	---M--	200	added ('OK')	application/javascript	etag:%2218dd-5af0627fb52c0%22	https://www.tronstol.com/assets/js/seajs/sea.js	C:/omayma.freelance/www.tronstol.com/assets/js/seajs/sea.js	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:01	93107/93107	---M--	200	added ('OK')	application/javascript	etag:%2216bb3-5af0627fb52c0%22	https://www.tronstol.com/assets/js/jquery-1.10.2.min.js	C:/omayma.freelance/www.tronstol.com/assets/js/jquery-1.10.2.min.js	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:01	127934/127934	---M--	200	added ('OK')	application/javascript	etag:%221f3be-58280a159e080%22	https://www.tronstol.com/assets/js/swiper.min.js	C:/omayma.freelance/www.tronstol.com/assets/js/swiper.min.js	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Sep%202024%2021:32:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/omayma.freelance/www.googletagmanager.com/gtm.65445.delayed	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:01	5551/5551	---M--	200	added ('OK')	image/png	etag:%2215af-5cec4f2de2969%22	https://www.tronstol.com/uploads/image/20211020/16/tronstol-smt-machine-logo.png	C:/omayma.freelance/www.tronstol.com/uploads/image/20211020/16/tronstol-smt-machine-logo.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:02	1152/1152	---M--	200	added ('OK')	image/png	etag:%22480-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/en.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/en.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:02	338/338	---M--	200	added ('OK')	image/png	etag:%22152-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/ja.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/ja.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:02	730/730	---M--	200	added ('OK')	image/png	etag:%222da-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/ko.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/ko.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:02	235/235	---M--	200	added ('OK')	image/png	etag:%22eb-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/fr.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/fr.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:03	210/210	---M--	200	added ('OK')	image/png	etag:%22d2-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/de.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/de.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
00:32:03	473/473	---M--	200	added ('OK')	image/png	etag:%221d9-54bb19bc18980%22	https://www.tronstol.com/themes/tianxing/img/country/es.png	C:/omayma.freelance/www.tronstol.com/themes/tianxing/img/country/es.png	(from https://www.tronstol.com/pick-and-place-machine/pick-and-place-machine-tronstol-e1-advanced.html)
